지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
257,양산시,2024-12-04,5.8,,1.6,54.4
257,양산시,2024-12-05,7.2,,2.6,55.8
257,양산시,2024-12-06,8,,2,48.6
257,양산시,2024-12-07,5.6,,1.9,48.4
257,양산시,2024-12-08,4.4,,2.1,36.5
257,양산시,2024-12-09,4.8,,1.5,49.3
257,양산시,2024-12-10,5.6,,1.2,53.3
257,양산시,2024-12-11,6,,1.2,60.3
257,양산시,2024-12-12,5.1,,1.4,50.4
257,양산시,2024-12-13,5.2,,1.8,34.8
257,양산시,2024-12-14,3.7,,2.5,36.8
257,양산시,2024-12-15,4.4,,2.3,60.3
257,양산시,2024-12-16,4.2,,1.5,52.4
257,양산시,2024-12-17,3.5,,1.2,56
257,양산시,2024-12-18,1.8,,1.9,49
257,양산시,2024-12-19,2.5,,1.4,46.8
257,양산시,2024-12-20,4.3,,1.5,53.6
257,양산시,2024-12-21,3.5,,2.8,58.9
257,양산시,2024-12-22,2.2,,2.8,32.1
257,양산시,2024-12-23,4.8,,2.8,42.6
257,양산시,2024-12-24,3.5,,1.4,48.4
257,양산시,2024-12-25,4.8,,1.6,54.1
257,양산시,2024-12-26,5.6,,2.3,49.9
257,양산시,2024-12-27,2.5,,2.7,43.3
257,양산시,2024-12-28,1.9,,2.7,47.6
257,양산시,2024-12-29,2.8,,1.8,60
257,양산시,2024-12-30,6.8,,2.1,62.4
257,양산시,2024-12-31,5.8,,2.4,32.8
